Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High-Open,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
2015-11-11,1089.69,1093.86,1084.42,1086.46,-2.64,1091,1093.53,1087.82,1089.1,2.53,3.43,4361.45,-4.43,5.71,1
2015-08-06,1085.34,1094.3,1083.63,1089.98,3.52,1089.69,1093.86,1084.42,1086.46,4.17,-2.64,4354.43,-7.4,9.44,0
2016-01-19,1089,1094.53,1083.21,1087.83,-2.15,1085.34,1094.3,1083.63,1089.98,8.96,3.52,4353.25,-4.32,10.67,1
2015-08-04,1085.05,1094.83,1081.32,1088.13,0.3,1089,1094.53,1083.21,1087.83,5.53,-2.15,4354.57,-6.7,11.32,1
2015-11-10,1091.57,1094.87,1085.7,1090.32,2.19,1085.05,1094.83,1081.32,1088.13,9.78,0.3,4349.33,-6.7,13.51,0
2016-01-14,1094.58,1095.39,1071.68,1079.23,-11.09,1091.57,1094.87,1085.7,1090.32,3.3,2.19,4362.46,-4.55,9.17,1
2016-01-06,1077.97,1095.43,1075.28,1093.77,14.54,1094.58,1095.39,1071.68,1079.23,0.81,-11.09,4340.88,-16.16,23.71,0
2016-01-13,1086.51,1095.67,1080.08,1093.66,-0.11,1077.97,1095.43,1075.28,1093.77,17.46,14.54,4342.45,-1.66,20.15,0
2015-11-09,1089.94,1095.83,1088.79,1092.28,-1.38,1086.51,1095.67,1080.08,1093.66,9.16,-0.11,4355.92,-2.01,15.59,0
2016-01-15,1077.59,1097.45,1076.55,1088.11,-4.17,1089.94,1095.83,1088.79,1092.28,5.89,-1.38,4366.84,-3.55,7.04,0
2015-08-03,1095.22,1097.84,1085.95,1086.78,-1.33,1077.59,1097.45,1076.55,1088.11,19.86,-4.17,4339.7,-9.34,20.9,0
2015-11-16,1090.33,1098.24,1081.67,1083.94,-2.84,1095.22,1097.84,1085.95,1086.78,2.62,-1.33,4365.79,-11.06,11.89,1
2015-07-30,1097.7,1098.95,1082.85,1088.64,4.7,1090.33,1098.24,1081.67,1083.94,7.91,-2.84,4354.18,-14.3,16.57,1
2015-07-28,1094.14,1099.18,1091.92,1095.85,7.21,1097.7,1098.95,1082.85,1088.64,1.25,4.7,4368.14,-10.31,16.1,0
2016-01-12,1096.23,1099.44,1083.83,1086.41,-9.44,1094.14,1099.18,1091.92,1095.85,5.04,7.21,4381.09,-3.33,7.26,1
2015-08-07,1089.82,1099.76,1083.12,1092.48,6.07,1096.23,1099.44,1083.83,1086.41,3.21,-9.44,4365.91,-13.03,15.61,1
2015-07-24,1090.7,1101.79,1077.64,1098.97,6.49,1089.82,1099.76,1083.12,1092.48,9.94,6.07,4365.18,-7.28,16.64,0
2015-07-29,1095.99,1102.03,1090.77,1096.68,-2.29,1090.7,1101.79,1077.64,1098.97,11.09,6.49,4369.1,-2.82,24.15,1
2016-01-22,1100.03,1102.85,1094.16,1097.66,0.98,1095.99,1102.03,1090.77,1096.68,6.04,-2.29,4385.47,-5.35,11.26,0
2015-07-22,1103.01,1103.01,1087.32,1094.78,-2.88,1100.03,1102.85,1094.16,1097.66,2.82,0.98,4394.7,-5.19,8.69,1
2015-07-31,1088.64,1103.75,1080.28,1095.23,0.45,1103.01,1103.01,1087.32,1094.78,0,-2.88,4388.12,-8.23,15.69,1
2016-01-21,1099.13,1104.6,1092.84,1101.41,6.18,1088.64,1103.75,1080.28,1095.23,15.11,0.45,4367.9,-8.52,23.47,0
2015-07-27,1096.53,1105.27,1088.82,1094.23,-7.18,1099.13,1104.6,1092.84,1101.41,5.47,6.18,4397.98,-3.19,11.76,0
2015-07-23,1095.01,1105.97,1087.53,1091.01,-3.22,1096.53,1105.27,1088.82,1094.23,8.74,-7.18,4384.85,-11.04,16.45,1
2016-01-11,1106.95,1108.49,1093.97,1094.56,3.55,1095.01,1105.97,1087.53,1091.01,10.96,-3.22,4379.52,-14.96,18.44,1
2015-08-10,1092.51,1109.14,1090.03,1104.85,10.29,1106.95,1108.49,1093.97,1094.56,1.54,3.55,4403.97,-13.93,14.52,1
2016-01-25,1098.47,1109.2,1098.14,1107.95,3.1,1092.51,1109.14,1090.03,1104.85,16.63,10.29,4396.53,-4.29,19.11,0
2016-01-20,1089.5,1109.22,1088.83,1101.32,-6.63,1098.47,1109.2,1098.14,1107.95,10.73,3.1,4413.76,-1.25,11.06,1
2016-01-08,1109.5,1109.5,1093.44,1103.96,2.64,1089.5,1109.22,1088.83,1101.32,19.72,-6.63,4388.87,-7.9,20.39,1
2015-09-15,1109.01,1109.68,1102.81,1105.19,1.23,1109.5,1109.5,1093.44,1103.96,0,2.64,4416.4,-5.54,16.06,0
2015-07-21,1098.67,1109.9,1098.46,1101.78,-3.41,1109.01,1109.68,1102.81,1105.19,0.67,1.23,4426.69,-4.49,6.87,1
2016-01-07,1093.55,1110.16,1091.69,1109.92,8.14,1098.67,1109.9,1098.46,1101.78,11.23,-3.41,4408.81,-8.12,11.44,0
2015-11-06,1106.15,1110.71,1085.78,1088.36,-21.56,1093.55,1110.16,1091.69,1109.92,16.61,8.14,4405.32,-0.24,18.47,1
2015-09-14,1106.36,1110.72,1103.79,1108.23,19.87,1106.15,1110.71,1085.78,1088.36,4.56,-21.56,4391,-22.35,24.93,0
2015-11-05,1108.85,1111.77,1103.26,1104.63,-3.6,1106.36,1110.72,1103.79,1108.23,4.36,19.87,4429.1,-2.49,6.93,1
2015-09-11,1111.93,1113.15,1099.05,1107.98,3.35,1108.85,1111.77,1103.26,1104.63,2.92,-3.6,4428.51,-7.14,8.51,1
2015-09-10,1107.39,1115.12,1104.15,1110.96,2.98,1111.93,1113.15,1099.05,1107.98,1.22,3.35,4432.11,-5.17,14.1,1
2016-01-29,1114.88,1118.48,1108.78,1117.69,6.73,1107.39,1115.12,1104.15,1110.96,7.73,2.98,4437.62,-4.16,10.97,0
2015-10-01,1115.54,1119.38,1111.37,1114.07,-3.62,1114.88,1118.48,1108.78,1117.69,3.6,6.73,4459.83,-0.79,9.7,0
2015-08-11,1104.23,1119.53,1094.2,1109.23,-4.84,1115.54,1119.38,1111.37,1114.07,3.84,-3.62,4460.36,-5.31,8.01,1
2015-08-14,1115.3,1121.31,1112.15,1115.41,6.18,1104.23,1119.53,1094.2,1109.23,15.3,-4.84,4427.19,-10.3,25.33,1
