Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Volume,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
09.04.2023,1993.341,2006.355,1992.458,2005.358,0.743,116,1992.255,2007.348,1988.615,2004.615,1379,10.98,7992.833,-2.733,18.733,0
19.08.2020,2005.155,2005.875,1924.528,1927.568,-77.79,1380,1993.341,2006.355,1992.458,2005.358,116,0.743,7997.512,-0.997,13.897,1
01.05.2023,1986.725,2005.848,1976.925,1981.335,53.767,1380,2005.155,2005.875,1924.528,1927.568,1380,-77.79,7863.126,-78.307,81.347,1
10.04.2023,2005.415,2005.758,1981.545,1992.275,10.94,1380,1986.725,2005.848,1976.925,1981.335,1380,53.767,7950.833,-24.513,28.923,0
21.04.2023,2005.205,2005.445,1971.515,1982.248,-10.027,1260,2005.415,2005.758,1981.545,1992.275,1380,10.94,7984.993,-13.483,24.213,1
16.04.2023,1998.498,2004.874,1997.904,2002.765,20.517,120,2005.205,2005.445,1971.515,1982.248,1260,-10.027,7964.413,-23.197,33.93,0
25.04.2023,1994.955,2003.798,1976.015,2000.125,-2.64,1380,1998.498,2004.874,1997.904,2002.765,120,20.517,8004.041,-2.109,6.97,0
27.04.2023,1991.505,2003.258,1973.865,1986.825,-13.3,1380,1994.955,2003.798,1976.015,2000.125,1380,-2.64,7974.893,-3.673,27.783,1
23.03.2023,1969.565,2003.185,1966.245,1991.205,4.38,1380,1991.505,2003.258,1973.865,1986.825,1380,-13.3,7955.453,-16.433,29.393,0
24.03.2023,1991.205,2002.848,1975.085,1977.988,-13.217,1260,1969.565,2003.185,1966.245,1991.205,1380,4.38,7930.2,-11.98,36.94,1
07.03.2022,1988.608,2002.518,1960.878,1998.608,20.62,1380,1991.205,2002.848,1975.085,1977.988,1260,-13.217,7947.126,-24.86,27.763,0
18.04.2022,1986.618,1998.268,1976.122,1977.058,-21.55,1379,1988.608,2002.518,1960.878,1998.608,1380,20.62,7950.612,-3.91,41.64,1
11.03.2022,1995.168,1997.142,1958.438,1988.248,11.19,1320,1986.618,1998.268,1976.122,1977.058,1379,-21.55,7938.066,-21.21,22.146,1
24.04.2023,1984.545,1996.498,1973.995,1994.935,6.687,1380,1995.168,1997.142,1958.438,1988.248,1320,11.19,7938.996,-8.894,38.704,0
28.04.2023,1986.785,1994.915,1975.905,1989.548,-5.387,1260,1984.545,1996.498,1973.995,1994.935,1380,6.687,7949.973,-1.563,22.503,0
