Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Open-Low,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
09.14.2022,1701.76,1706.09,1693.56,1696.8,-5.2,9033,1710.75,1710.84,1689.53,1697.07,21.22,-13.69,6808.19,-13.77,21.31,1
09.01.2022,1710.75,1710.84,1689.53,1697.07,-13.69,5977,1711.28,1713.3,1694.68,1696.57,16.6,-14.72,6815.83,-16.73,18.62,0
07.20.2022,1711.28,1713.3,1694.68,1696.57,-14.72,7201,1711.97,1714.15,1693.33,1694.63,18.64,-17.42,6814.08,-19.52,20.82,0
10.07.2022,1711.97,1714.15,1693.33,1694.63,-17.42,8820,1711.54,1714.78,1707.52,1709.09,4.02,-2.89,6842.93,-5.69,7.26,0
09.05.2022,1711.54,1714.78,1707.52,1709.09,-2.89,8351,1709.93,1716.15,1700.05,1707.02,9.88,-2.97,6833.15,-9.13,16.1,0
07.15.2022,1709.93,1716.15,1700.05,1707.02,-2.97,7111,1674.9,1716.18,1665.68,1711.91,9.22,36.85,6768.67,-4.27,50.5,0
11.08.2022,1674.9,1716.18,1665.68,1711.91,36.85,8510,1711.8,1716.79,1702.49,1706.39,9.31,-5.52,6837.47,-10.4,14.3,0
11.09.2022,1711.8,1716.79,1702.49,1706.39,-5.52,8656,1697,1717.04,1695.08,1711.98,1.92,14.91,6821.1,-5.06,21.96,1
09.02.2022,1697,1717.04,1695.08,1711.98,14.91,7212,1709.07,1717.46,1705.48,1711.29,3.59,2.27,6843.3,-6.17,11.98,0
07.19.2022,1709.07,1717.46,1705.48,1711.29,2.27,7367,1701.42,1718.56,1691.33,1718.2,10.09,16.69,6829.51,-0.36,27.23,1
09.07.2022,1701.42,1718.56,1691.33,1718.2,16.69,8885,1696.53,1719.92,1681.43,1719.16,15.1,22.59,6817.04,-0.76,38.49,1
07.21.2022,1696.53,1719.92,1681.43,1719.16,22.59,6980,1707.01,1723.04,1706.54,1709.02,0.47,2,6845.61,-14.02,16.5,1
07.18.2022,1707.01,1723.04,1706.54,1709.02,2,7020,1709.09,1724.04,1699.92,1701.51,9.17,-7.58,6834.56,-22.53,24.12,1
09.06.2022,1709.09,1724.04,1699.92,1701.51,-7.58,9178,1715.73,1724.39,1707.41,1712.05,8.32,-3.89,6859.58,-12.34,16.98,1
10.06.2022,1715.73,1724.39,1707.41,1712.05,-3.89,9082,1723.93,1725.77,1709.69,1710.76,14.24,-13.37,6870.15,-15.01,16.08,0
08.31.2022,1723.93,1725.77,1709.69,1710.76,-13.37,5969,1725.78,1726.87,1701.57,1715.94,24.21,-10.02,6870.16,-10.93,25.3,0
10.05.2022,1725.78,1726.87,1701.57,1715.94,-10.02,9003,1718,1726.87,1704.01,1708.31,13.99,-9.89,6857.19,-18.56,22.86,0
09.08.2022,1718,1726.87,1704.01,1708.31,-9.89,8888,1719.53,1727.52,1715.79,1717.16,3.74,-2.33,6880,-10.36,11.73,0
07.26.2022,1719.53,1727.52,1715.79,1717.16,-2.33,7279,1699.08,1727.76,1695.13,1725.96,3.95,26.8,6847.93,-1.8,32.63,0
10.04.2022,1699.08,1727.76,1695.13,1725.96,26.8,9088,1708.24,1728.45,1706.52,1716.84,1.72,8.53,6860.05,-11.61,21.93,0
09.09.2022,1708.24,1728.45,1706.52,1716.84,8.53,8827,1724.39,1730.76,1697.92,1702,26.47,-22.43,6855.07,-28.76,32.84,1
09.13.2022,1724.39,1730.76,1697.92,1702,-22.43,8973,1717.61,1733.96,1711.95,1724.43,5.66,7.59,6887.95,-9.53,22.01,1
09.12.2022,1717.61,1733.96,1711.95,1724.43,7.59,8651,1727.1,1734.03,1715.45,1719.49,11.65,-7.65,6896.07,-14.54,18.58,0
07.25.2022,1727.1,1734.03,1715.45,1719.49,-7.65,7033,1735.41,1735.93,1698.7,1709.99,36.71,-25.41,6880.03,-25.94,37.23,1
07.14.2022,1735.41,1735.93,1698.7,1709.99,-25.41,6847,1719.01,1736.7,1713.22,1727.14,5.79,7.98,6896.07,-9.56,23.48,0
07.22.2022,1719.01,1736.7,1713.22,1727.14,7.98,6472,1733.86,1738.16,1723.86,1726,10,-7.83,6921.88,-12.16,14.3,0
07.12.2022,1733.86,1738.16,1723.86,1726,-7.83,7022,1717.15,1738.64,1713.29,1734.38,3.86,17.22,6903.46,-4.26,25.35,1
07.27.2022,1717.15,1738.64,1713.29,1734.38,17.22,7205,1737.32,1739.95,1721.44,1724.13,15.88,-13.23,6922.84,-15.82,18.51,0
08.30.2022,1737.32,1739.95,1721.44,1724.13,-13.23,5909,1741.91,1743.76,1731.5,1733.83,10.41,-8.22,6951,-9.93,12.26,1
07.11.2022,1741.91,1743.76,1731.5,1733.83,-8.22,6899,1726.01,1744.01,1710.63,1735.4,15.38,9.4,6916.05,-8.61,33.38,0
07.13.2022,1726.01,1744.01,1710.63,1735.4,9.4,6892,1740.39,1744.14,1720.59,1737.36,19.8,-0.68,6942.48,-6.78,23.55,0
08.29.2022,1740.39,1744.14,1720.59,1737.36,-0.68,5773,1733.48,1745.42,1722.02,1726.27,11.46,-7.17,6927.19,-19.15,23.4,1
09.29.2021,1733.48,1745.42,1722.02,1726.27,-7.17,6063,1738.99,1748.12,1737.03,1739.95,1.96,0.96,6964.09,-8.17,11.09,0
07.07.2022,1738.99,1748.12,1737.03,1739.95,0.96,7226,1746.96,1748.21,1728.38,1735.4,18.58,-11.6,6958.95,-12.81,19.83,0
08.22.2022,1746.96,1748.21,1728.38,1735.4,-11.6,5630,1737.57,1748.55,1736.67,1739.8,0.9,2.09,6962.59,-8.75,11.88,1
11.22.2022,1737.57,1748.55,1736.67,1739.8,2.09,8972,1739.98,1749.49,1734.66,1742.05,5.32,2.1,6966.18,-7.44,14.83,0
07.08.2022,1739.98,1749.49,1734.66,1742.05,2.1,7192,1739.6,1751.86,1732.99,1749.36,6.61,9.56,6973.81,-2.5,18.87,1
11.23.2022,1739.6,1751.86,1732.99,1749.36,9.56,8844,1735.3,1753.08,1731.83,1747.69,3.47,12.29,6967.9,-5.39,21.25,1
08.23.2022,1735.3,1753.08,1731.83,1747.69,12.29,5858,1749.93,1753.73,1728.28,1733.44,21.65,-16.48,6965.38,-20.29,25.45,1
09.28.2021,1749.93,1753.73,1728.28,1733.44,-16.48,5899,1754.02,1754.02,1732.59,1737.71,21.43,-12.67,6978.34,-16.31,21.43,1
11.21.2022,1754.02,1754.02,1732.59,1737.71,-12.67,8838,1747.49,1754.27,1743.28,1751.38,4.21,3.69,6996.42,-2.89,10.99,0
08.24.2022,1747.49,1754.27,1743.28,1751.38,3.69,5823,1706.3,1756.32,1704.41,1754.99,1.89,48.6,6922.02,-1.33,51.91,0
11.10.2022,1706.3,1756.32,1704.41,1754.99,48.6,8415,1734.24,1756.87,1733.06,1756,1.18,21.62,6980.17,-0.87,23.81,1
07.28.2022,1734.24,1756.87,1733.06,1756,21.62,7157,1741.78,1756.95,1741.56,1749.64,0.22,7.91,6989.93,-7.31,15.39,1
09.24.2021,1741.78,1756.95,1741.56,1749.64,7.91,6034,1741.1,1757.48,1739.86,1749.11,1.24,7.97,6987.55,-8.37,17.62,1
